heuristica,escala,trial,workflow_file,makespan,energia_kwh,carbono_gco2,utilizacao_media
MOHEFT,256,9,wf_256_tasks_8_cores_trial09.json,675.0623,0.415,189.0,42.5
MOHEFT,256,10,wf_256_tasks_8_cores_trial10.json,646.4087,0.353,185.6,42.5
MOHEFT,512,1,wf_512_tasks_8_cores_trial01.json,2091.09,1.114,532.4,42.5
MOHEFT,512,2,wf_512_tasks_8_cores_trial02.json,2103.8818,1.233,534.5,42.5
MOHEFT,512,3,wf_512_tasks_8_cores_trial03.json,1967.0436,1.259,555.8,42.5
MOHEFT,512,4,wf_512_tasks_8_cores_trial04.json,2088.6586,1.124,567.8,42.5
MOHEFT,512,5,wf_512_tasks_8_cores_trial05.json,2096.7663,1.245,565.9,42.5
MOHEFT,512,6,wf_512_tasks_8_cores_trial06.json,1962.4675,1.208,581.8,42.5
MOHEFT,512,7,wf_512_tasks_8_cores_trial07.json,2306.4218,1.236,558.4,42.5
MOHEFT,512,8,wf_512_tasks_8_cores_trial08.json,2120.8633,1.309,599.8,42.5
MOHEFT,512,9,wf_512_tasks_8_cores_trial09.json,1898.8855,1.163,550.4,42.5
MOHEFT,512,10,wf_512_tasks_8_cores_trial10.json,2145.2216,1.129,636.2,42.5
MOHEFT,1024,1,wf_1024_tasks_8_cores_trial01.json,5980.0811,3.072,1465.6,42.5
MOHEFT,1024,2,wf_1024_tasks_8_cores_trial02.json,5505.7364,3.332,1475.3,42.5
MOHEFT,1024,3,wf_1024_tasks_8_cores_trial03.json,5437.3642,3.204,1500.2,42.5
MOHEFT,1024,4,wf_1024_tasks_8_cores_trial04.json,5934.2741,2.913,1498.8,42.5
MOHEFT,1024,5,wf_1024_tasks_8_cores_trial05.json,5708.4507,3.196,1382.6,42.5
MOHEFT,1024,6,wf_1024_tasks_8_cores_trial06.json,6008.3382,3.238,1403.7,42.5
MOHEFT,1024,7,wf_1024_tasks_8_cores_trial07.json,5931.32,2.985,1473.1,42.5
MOHEFT,1024,8,wf_1024_tasks_8_cores_trial08.json,5756.6373,3.192,1473.0,42.5
MOHEFT,1024,9,wf_1024_tasks_8_cores_trial09.json,5509.0517,3.173,1473.1,42.5
MOHEFT,1024,10,wf_1024_tasks_8_cores_trial10.json,5295.3463,2.935,1632.6,42.5
MOHEFT,2048,1,wf_2048_tasks_8_cores_trial01.json,10169.2168,5.772,2603.2,42.5
MOHEFT,2048,2,wf_2048_tasks_8_cores_trial02.json,10334.7314,5.428,2646.3,42.5
MOHEFT,2048,3,wf_2048_tasks_8_cores_trial03.json,10281.5123,5.638,2638.5,42.5
MOHEFT,2048,4,wf_2048_tasks_8_cores_trial04.json,10192.8127,5.449,2606.8,42.5
MOHEFT,2048,5,wf_2048_tasks_8_cores_trial05.json,9909.4703,5.543,2734.0,42.5
MOHEFT,2048,6,wf_2048_tasks_8_cores_trial06.json,10224.3454,5.671,2665.3,42.5
MOHEFT,2048,7,wf_2048_tasks_8_cores_trial07.json,9775.3539,5.587,2544.3,42.5
MOHEFT,2048,8,wf_2048_tasks_8_cores_trial08.json,9932.4653,5.493,2644.9,42.5
MOHEFT,2048,9,wf_2048_tasks_8_cores_trial09.json,9859.6131,5.523,2606.4,42.5
MOHEFT,2048,10,wf_2048_tasks_8_cores_trial10.json,10025.8788,5.636,2675.3,42.5
PEFT,256,1,wf_256_tasks_8_cores_trial01.json,595.9904,0.332,170.1,42.5
PEFT,256,2,wf_256_tasks_8_cores_trial02.json,630.7717,0.379,178.7,42.5
PEFT,256,3,wf_256_tasks_8_cores_trial03.json,662.5736,0.406,147.4,42.5
PEFT,256,4,wf_256_tasks_8_cores_trial04.json,681.0869,0.382,169.2,42.5
PEFT,256,5,wf_256_tasks_8_cores_trial05.json,575.0649,0.326,176.8,42.5
PEFT,256,6,wf_256_tasks_8_cores_trial06.json,619.4942,0.349,167.0,42.5
PEFT,256,7,wf_256_tasks_8_cores_trial07.json,612.2872,0.387,195.3,42.5
PEFT,256,8,wf_256_tasks_8_cores_trial08.json,603.1332,0.344,165.2,42.5
PEFT,256,9,wf_256_tasks_8_cores_trial09.json,727.2561,0.369,174.9,42.5
PEFT,256,10,wf_256_tasks_8_cores_trial10.json,657.4418,0.376,180.4,42.5
PEFT,512,1,wf_512_tasks_8_cores_trial01.json,2401.366,1.29,594.9,42.5
PEFT,512,2,wf_512_tasks_8_cores_trial02.json,2108.8287,1.313,583.8,42.5
PEFT,512,3,wf_512_tasks_8_cores_trial03.json,2373.0888,1.353,580.0,42.5
PEFT,512,4,wf_512_tasks_8_cores_trial04.json,2255.8627,1.232,636.3,42.5
PEFT,512,5,wf_512_tasks_8_cores_trial05.json,2155.0258,1.376,617.0,42.5
PEFT,512,6,wf_512_tasks_8_cores_trial06.json,2301.8074,1.202,576.0,42.5
PEFT,512,7,wf_512_tasks_8_cores_trial07.json,2275.062,1.279,638.3,42.5
PEFT,512,8,wf_512_tasks_8_cores_trial08.json,2193.7943,1.31,615.1,42.5
PEFT,512,9,wf_512_tasks_8_cores_trial09.json,2261.9195,1.297,634.9,42.5
PEFT,512,10,wf_512_tasks_8_cores_trial10.json,2215.6448,1.258,627.7,42.5
PEFT,1024,1,wf_1024_tasks_8_cores_trial01.json,4726.8406,2.662,1305.8,42.5
PEFT,1024,2,wf_1024_tasks_8_cores_trial02.json,4801.4255,2.9,1329.5,42.5
PEFT,1024,3,wf_1024_tasks_8_cores_trial03.json,5164.1964,2.85,1262.2,42.5
PEFT,1024,4,wf_1024_tasks_8_cores_trial04.json,5126.2058,2.848,1400.9,42.5
PEFT,1024,5,wf_1024_tasks_8_cores_trial05.json,4951.0536,2.937,1253.2,42.5
PEFT,1024,6,wf_1024_tasks_8_cores_trial06.json,4989.4065,2.705,1243.3,42.5
PEFT,1024,7,wf_1024_tasks_8_cores_trial07.json,5311.3528,2.825,1356.3,42.5
PEFT,1024,8,wf_1024_tasks_8_cores_trial08.json,4792.716,2.645,1338.9,42.5
PEFT,1024,9,wf_1024_tasks_8_cores_trial09.json,5108.6501,2.76,1330.9,42.5
PEFT,1024,10,wf_1024_tasks_8_cores_trial10.json,4900.7527,2.678,1331.0,42.5
PEFT,2048,1,wf_2048_tasks_8_cores_trial01.json,10207.3374,5.495,2682.6,42.5
PEFT,2048,2,wf_2048_tasks_8_cores_trial02.json,9654.5308,5.839,2835.6,42.5
PEFT,2048,3,wf_2048_tasks_8_cores_trial03.json,10262.3374,5.839,2754.4,42.5
PEFT,2048,4,wf_2048_tasks_8_cores_trial04.json,9792.0084,5.596,2620.7,42.5
PEFT,2048,5,wf_2048_tasks_8_cores_trial05.json,10824.081,5.608,2639.3,42.5
PEFT,2048,6,wf_2048_tasks_8_cores_trial06.json,10123.13,5.835,2510.0,42.5
PEFT,2048,7,wf_2048_tasks_8_cores_trial07.json,9699.3529,5.292,2639.3,42.5
PEFT,2048,8,wf_2048_tasks_8_cores_trial08.json,10014.2384,5.306,2603.8,42.5
PEFT,2048,9,wf_2048_tasks_8_cores_trial09.json,10472.9186,5.528,2684.1,42.5
PEFT,2048,10,wf_2048_tasks_8_cores_trial10.json,9862.8651,5.692,2533.2,42.5
IPEFT,256,1,wf_256_tasks_8_cores_trial01.json,689.0154,0.356,168.9,42.5
IPEFT,256,2,wf_256_tasks_8_cores_trial02.json,789.2185,0.372,172.6,42.5
IPEFT,256,3,wf_256_tasks_8_cores_trial03.json,626.9089,0.404,149.1,42.5
IPEFT,256,4,wf_256_tasks_8_cores_trial04.json,677.3838,0.388,173.7,42.5
IPEFT,256,5,wf_256_tasks_8_cores_trial05.json,705.9037,0.428,170.1,42.5
IPEFT,256,6,wf_256_tasks_8_cores_trial06.json,597.9908,0.329,184.2,42.5
IPEFT,256,7,wf_256_tasks_8_cores_trial07.json,659.821,0.385,187.1,42.5
IPEFT,256,8,wf_256_tasks_8_cores_trial08.json,638.9081,0.361,210.8,42.5
IPEFT,256,9,wf_256_tasks_8_cores_trial09.json,647.3211,0.429,196.5,42.5
IPEFT,256,10,wf_256_tasks_8_cores_trial10.json,561.2287,0.328,173.0,42.5
IPEFT,512,1,wf_512_tasks_8_cores_trial01.json,2403.9928,1.302,681.2,42.5
IPEFT,512,2,wf_512_tasks_8_cores_trial02.json,2515.9723,1.384,634.3,42.5
IPEFT,512,3,wf_512_tasks_8_cores_trial03.json,2370.0189,1.433,623.9,42.5
IPEFT,512,4,wf_512_tasks_8_cores_trial04.json,2623.8608,1.437,695.6,42.5
IPEFT,512,5,wf_512_tasks_8_cores_trial05.json,2571.3463,1.396,671.5,42.5
IPEFT,512,6,wf_512_tasks_8_cores_trial06.json,2438.5643,1.484,643.9,42.5
IPEFT,512,7,wf_512_tasks_8_cores_trial07.json,2338.374,1.345,702.6,42.5
IPEFT,512,8,wf_512_tasks_8_cores_trial08.json,2585.3953,1.421,666.0,42.5
IPEFT,512,9,wf_512_tasks_8_cores_trial09.json,2467.1272,1.443,693.1,42.5
IPEFT,512,10,wf_512_tasks_8_cores_trial10.json,2576.0481,1.475,664.9,42.5
IPEFT,1024,1,wf_1024_tasks_8_cores_trial01.json,5017.7262,2.623,1318.0,42.5
IPEFT,1024,2,wf_1024_tasks_8_cores_trial02.json,4973.415,2.558,1295.8,42.5
IPEFT,1024,3,wf_1024_tasks_8_cores_trial03.json,4682.6125,2.692,1187.7,42.5
IPEFT,1024,4,wf_1024_tasks_8_cores_trial04.json,4859.6986,2.767,1292.8,42.5
IPEFT,1024,5,wf_1024_tasks_8_cores_trial05.json,4812.3714,2.826,1228.2,42.5
IPEFT,1024,6,wf_1024_tasks_8_cores_trial06.json,4917.3077,2.718,1333.2,42.5
IPEFT,1024,7,wf_1024_tasks_8_cores_trial07.json,4578.7347,2.836,1317.1,42.5
IPEFT,1024,8,wf_1024_tasks_8_cores_trial08.json,4818.2729,2.608,1247.6,42.5
IPEFT,1024,9,wf_1024_tasks_8_cores_trial09.json,4872.3001,2.583,1270.3,42.5
IPEFT,1024,10,wf_1024_tasks_8_cores_trial10.json,4463.5609,2.709,1241.3,42.5
IPEFT,2048,1,wf_2048_tasks_8_cores_trial01.json,9526.7339,5.52,2491.1,42.5
IPEFT,2048,2,wf_2048_tasks_8_cores_trial02.json,9771.233,5.293,2433.2,42.5
IPEFT,2048,3,wf_2048_tasks_8_cores_trial03.json,9305.0013,5.207,2455.7,42.5
IPEFT,2048,4,wf_2048_tasks_8_cores_trial04.json,9662.8716,5.314,2538.0,42.5
IPEFT,2048,5,wf_2048_tasks_8_cores_trial05.json,9414.4131,5.276,2546.0,42.5
IPEFT,2048,6,wf_2048_tasks_8_cores_trial06.json,9351.3281,5.263,2491.8,42.5
IPEFT,2048,7,wf_2048_tasks_8_cores_trial07.json,9516.0799,5.361,2515.4,42.5
IPEFT,2048,8,wf_2048_tasks_8_cores_trial08.json,9293.1066,5.378,2507.9,42.5
IPEFT,2048,9,wf_2048_tasks_8_cores_trial09.json,9408.7939,5.227,2587.0,42.5
IPEFT,2048,10,wf_2048_tasks_8_cores_trial10.json,9254.0386,5.221,2530.9,42.5
